benchmark_suite,category,arch,domain,train_size,seed,avg_accuracy
scamp_plausible,Binding,small,baby,10Mf,76,0.6595
scamp_plausible,Binding,small,baby,30M,42,0.718
scamp_plausible,Binding,small,baby,30M,53,0.7130000000000001
scamp_plausible,Binding,small,baby,30M,76,0.6995
scamp_plausible,Binding,small,baby,30Mf,42,0.7025
scamp_plausible,Binding,small,baby,30Mf,53,0.734
scamp_plausible,Binding,small,baby,30Mf,76,0.67075
scamp_plausible,Binding,small,wiki,10M,42,0.67625
scamp_plausible,Binding,small,wiki,10M,53,0.6825
scamp_plausible,Binding,small,wiki,10M,76,0.677
scamp_plausible,Binding,small,wiki,30M,42,0.7082499999999999
scamp_plausible,Binding,small,wiki,30M,53,0.73175
scamp_plausible,Binding,small,wiki,30M,76,0.68175
scamp_plausible,Island,large,baby,100M,42,0.6726666666666666
scamp_plausible,Island,large,baby,100M,53,0.6886666666666666
scamp_plausible,Island,large,baby,100M,76,0.7273333333333333
scamp_plausible,Island,large,wiki,100M,42,0.5586666666666668
scamp_plausible,Island,large,wiki,100M,53,0.6066666666666667
scamp_plausible,Island,large,wiki,100M,76,0.5489999999999999
scamp_plausible,Island,medium,baby,50M,42,0.662
scamp_plausible,Island,medium,baby,50M,53,0.617
scamp_plausible,Island,medium,baby,50M,76,0.6496666666666666
scamp_plausible,Island,medium,baby,50Mf,42,0.6509999999999999
scamp_plausible,Island,medium,baby,50Mf,53,0.7000000000000001
scamp_plausible,Island,medium,baby,50Mf,76,0.682
scamp_plausible,Island,medium,wiki,50M,42,0.5403333333333333
scamp_plausible,Island,medium,wiki,50M,53,0.5726666666666667
scamp_plausible,Island,medium,wiki,50M,76,0.5906666666666667
scamp_plausible,Island,small,baby,10M,42,0.599
scamp_plausible,Island,small,baby,10M,53,0.592
scamp_plausible,Island,small,baby,10M,76,0.6103333333333333
scamp_plausible,Island,small,baby,10Mf,42,0.6216666666666667
scamp_plausible,Island,small,baby,10Mf,53,0.6836666666666668
scamp_plausible,Island,small,baby,10Mf,76,0.6536666666666666
scamp_plausible,Island,small,baby,30M,42,0.6709999999999999
scamp_plausible,Island,small,baby,30M,53,0.6993333333333333
scamp_plausible,Island,small,baby,30M,76,0.6053333333333334
scamp_plausible,Island,small,baby,30Mf,42,0.7063333333333333
scamp_plausible,Island,small,baby,30Mf,53,0.6603333333333333
scamp_plausible,Island,small,baby,30Mf,76,0.6506666666666666
scamp_plausible,Island,small,wiki,10M,42,0.5379999999999999
scamp_plausible,Island,small,wiki,10M,53,0.5093333333333333
scamp_plausible,Island,small,wiki,10M,76,0.48466666666666675
scamp_plausible,Island,small,wiki,30M,42,0.498
scamp_plausible,Island,small,wiki,30M,53,0.5766666666666667
scamp_plausible,Island,small,wiki,30M,76,0.5326666666666666
zorro,Binding,large,baby,100M,42,0.9605
zorro,Binding,large,baby,100M,53,0.93
zorro,Binding,large,baby,100M,76,0.9685
zorro,Binding,large,wiki,100M,42,0.941
zorro,Binding,large,wiki,100M,53,0.9515
zorro,Binding,large,wiki,100M,76,0.957
zorro,Binding,medium,baby,50M,42,0.8985
zorro,Binding,medium,baby,50M,53,0.97
zorro,Binding,medium,baby,50M,76,0.961
zorro,Binding,medium,baby,50Mf,42,0.9675
zorro,Binding,medium,baby,50Mf,53,0.961
zorro,Binding,medium,baby,50Mf,76,0.982
zorro,Binding,medium,wiki,50M,42,0.9075
zorro,Binding,medium,wiki,50M,53,0.919
zorro,Binding,medium,wiki,50M,76,0.903
zorro,Binding,small,baby,10M,42,0.8545
zorro,Binding,small,baby,10M,53,0.913
zorro,Binding,small,baby,10M,76,0.941
zorro,Binding,small,baby,10Mf,42,0.9
zorro,Binding,small,baby,10Mf,53,0.8885
zorro,Binding,small,baby,10Mf,76,0.899
zorro,Binding,small,baby,30M,42,0.929
zorro,Binding,small,baby,30M,53,0.91
zorro,Binding,small,baby,30M,76,0.9465
zorro,Binding,small,baby,30Mf,42,0.9535
zorro,Binding,small,baby,30Mf,53,0.946
zorro,Binding,small,baby,30Mf,76,0.9115
zorro,Binding,small,wiki,10M,42,0.9105
zorro,Binding,small,wiki,10M,53,0.893
zorro,Binding,small,wiki,10M,76,0.8135
zorro,Binding,small,wiki,30M,42,0.9085
zorro,Binding,small,wiki,30M,53,0.86
zorro,Binding,small,wiki,30M,76,0.9555
zorro,Island,large,baby,100M,42,0.656
zorro,Island,large,baby,100M,53,0.7125
zorro,Island,large,baby,100M,76,0.754
zorro,Island,large,wiki,100M,42,0.422
zorro,Island,large,wiki,100M,53,0.364
zorro,Island,large,wiki,100M,76,0.292
zorro,Island,medium,baby,50M,42,0.648
zorro,Island,medium,baby,50M,53,0.662
zorro,Island,medium,baby,50M,76,0.7085
zorro,Island,medium,baby,50Mf,42,0.6375
zorro,Island,medium,baby,50Mf,53,0.658
zorro,Island,medium,baby,50Mf,76,0.6555
zorro,Island,medium,wiki,50M,42,0.2835
zorro,Island,medium,wiki,50M,53,0.2805
zorro,Island,medium,wiki,50M,76,0.442
zorro,Island,small,baby,10M,42,0.7015
zorro,Island,small,baby,10M,53,0.514
zorro,Island,small,baby,10M,76,0.529
zorro,Island,small,baby,10Mf,42,0.5715
zorro,Island,small,baby,10Mf,53,0.7635
zorro,Island,small,baby,10Mf,76,0.591
zorro,Island,small,baby,30M,42,0.631
zorro,Island,small,baby,30M,53,0.684
zorro,Island,small,baby,30M,76,0.4345
zorro,Island,small,baby,30Mf,42,0.6685
zorro,Island,small,baby,30Mf,53,0.75
zorro,Island,small,baby,30Mf,76,0.6145
zorro,Island,small,wiki,10M,42,0.404
zorro,Island,small,wiki,10M,53,0.304
zorro,Island,small,wiki,10M,76,0.3185
zorro,Island,small,wiki,30M,42,0.402
zorro,Island,small,wiki,30M,53,0.3605
zorro,Island,small,wiki,30M,76,0.4135
