benchmark_suite,category,arch,domain,train_size,seed,avg_accuracy
posh,Island,small,wiki,30M,76,0.8019999999999999
posh,Island,small,wiki,50M,42,0.7466666666666667
posh,Island,small,wiki,50M,53,0.7713333333333333
posh,Island,small,wiki,50M,76,0.754
posh,Question Formation,gpt2,NA,NA,NA,0.7866666666666667
posh,Question Formation,mini,baby,10M,42,0.5733333333333334
posh,Question Formation,mini,baby,10M,53,0.5559999999999999
posh,Question Formation,mini,baby,10M,76,0.5213333333333333
posh,Question Formation,mini,baby,10Mf,42,0.5666666666666668
posh,Question Formation,mini,baby,10Mf,53,0.518
posh,Question Formation,mini,baby,10Mf,76,0.586
posh,Question Formation,mini,wiki,10M,42,0.6313333333333334
posh,Question Formation,mini,wiki,10M,53,0.6086666666666667
posh,Question Formation,mini,wiki,10M,76,0.5906666666666666
posh,Question Formation,small,baby,100M,42,0.52
posh,Question Formation,small,baby,100M,53,0.5273333333333333
posh,Question Formation,small,baby,100M,76,0.5086666666666667
posh,Question Formation,small,baby,30M,42,0.522
posh,Question Formation,small,baby,30M,53,0.5393333333333333
posh,Question Formation,small,baby,30M,76,0.5366666666666666
posh,Question Formation,small,baby,30Mf,42,0.5233333333333333
posh,Question Formation,small,baby,30Mf,53,0.5640000000000001
posh,Question Formation,small,baby,30Mf,76,0.5546666666666668
posh,Question Formation,small,baby,50M,42,0.5486666666666666
posh,Question Formation,small,baby,50M,53,0.5413333333333333
posh,Question Formation,small,baby,50M,76,0.5339999999999999
posh,Question Formation,small,baby,50Mf,42,0.5366666666666666
posh,Question Formation,small,baby,50Mf,53,0.5293333333333333
posh,Question Formation,small,baby,50Mf,76,0.548
posh,Question Formation,small,wiki,100M,42,0.6093333333333333
posh,Question Formation,small,wiki,100M,53,0.616
posh,Question Formation,small,wiki,100M,76,0.5873333333333334
posh,Question Formation,small,wiki,30M,42,0.6113333333333334
posh,Question Formation,small,wiki,30M,53,0.5619999999999999
posh,Question Formation,small,wiki,30M,76,0.6033333333333334
posh,Question Formation,small,wiki,50M,42,0.5840000000000001
posh,Question Formation,small,wiki,50M,53,0.5753333333333334
posh,Question Formation,small,wiki,50M,76,0.6013333333333334
posh,Wanna,gpt2,NA,NA,NA,0.436
posh,Wanna,mini,baby,10M,42,0.518
posh,Wanna,mini,baby,10M,53,0.712
posh,Wanna,mini,baby,10M,76,0.718
posh,Wanna,mini,baby,10Mf,42,0.776
posh,Wanna,mini,baby,10Mf,53,0.754
posh,Wanna,mini,baby,10Mf,76,0.802
posh,Wanna,mini,wiki,10M,42,0.082
posh,Wanna,mini,wiki,10M,53,0.288
posh,Wanna,mini,wiki,10M,76,0.398
posh,Wanna,small,baby,100M,42,0.908
posh,Wanna,small,baby,100M,53,0.96
posh,Wanna,small,baby,100M,76,0.896
posh,Wanna,small,baby,30M,42,0.532
posh,Wanna,small,baby,30M,53,0.654
posh,Wanna,small,baby,30M,76,0.66
posh,Wanna,small,baby,30Mf,42,0.81
posh,Wanna,small,baby,30Mf,53,0.748
posh,Wanna,small,baby,30Mf,76,0.546
posh,Wanna,small,baby,50M,42,0.792
posh,Wanna,small,baby,50M,53,0.692
posh,Wanna,small,baby,50M,76,0.772
posh,Wanna,small,baby,50Mf,42,0.852
posh,Wanna,small,baby,50Mf,53,0.87
posh,Wanna,small,baby,50Mf,76,0.826
posh,Wanna,small,wiki,100M,42,0.868
posh,Wanna,small,wiki,100M,53,0.698
posh,Wanna,small,wiki,100M,76,0.406
posh,Wanna,small,wiki,30M,42,0.334
posh,Wanna,small,wiki,30M,53,0.602
posh,Wanna,small,wiki,30M,76,0.636
posh,Wanna,small,wiki,50M,42,0.5
posh,Wanna,small,wiki,50M,53,0.56
posh,Wanna,small,wiki,50M,76,0.482
